Year;"NCM Code";"NCM Description";Country;State;"Economic Block";Via;URF;"US$ FOB";"Net Weight";Quantity
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";"Marshall Islands";Paraná;Oceania;MARITIMA;"0917800 - PORTO DE PARANAGUA";1504;614;541
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Suriname;"São Paulo";"South America";MARITIMA;"0817800 - PORTO DE SANTOS";1472;900;900
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";China;"São Paulo";"Asia (minus MIDDLE EAST)";MARITIMA;"0817800 - PORTO DE SANTOS";1386;387;244
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";"United Kingdom";"Rio Grande do Sul";Europe;AEREA;"0817600 - AEROPORTO INTERNACIONAL DE SAO PAULO/GUARULHOS";1378;166;166
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Liberia;"Rio Grande do Sul";"Africa (minus MIDDLE EAST)";MARITIMA;"1017700 - PORTO DE RIO GRANDE";1357;476;477
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Bahamas;"São Paulo";"Central America and Caribbean";MARITIMA;"0817800 - PORTO DE SANTOS";1352;274;244
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Japan;"Rio Grande do Sul";"Asia (minus MIDDLE EAST)";MARITIMA;"0817800 - PORTO DE SANTOS";1327;362;237
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Bahamas;Bahia;"Central America and Caribbean";MARITIMA;"0517800 - ALF - SALVADOR";1323;18;18
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Singapore;Maranhão;"Asia (minus MIDDLE EAST)";MARITIMA;"0317903 - IRF SAO LUIS";1285;343;325
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Singapore;Maranhão;"Association Of Southeast Asian Nations (ASEAN)";MARITIMA;"0317903 - IRF SAO LUIS";1285;343;325
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Singapore;"São Paulo";"Association Of Southeast Asian Nations (ASEAN)";"EM MAOS";"0817800 - PORTO DE SANTOS";1237;186;95
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Singapore;"São Paulo";"Asia (minus MIDDLE EAST)";"EM MAOS";"0817800 - PORTO DE SANTOS";1237;186;95
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Panama;"Rio Grande do Sul";"Central America and Caribbean";MARITIMA;"1017700 - PORTO DE RIO GRANDE";1203;425;432
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";"United States";"Não Declarada";"North America";AEREA;"0817700 - AEROPORTO INTERNACIONAL DE VIRACOPOS";1100;189;65
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Germany;"Santa Catarina";Europe;MARITIMA;"0927800 - ITAJAI";1053;552;552
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Germany;"Santa Catarina";"European Union (EU)";MARITIMA;"0927800 - ITAJAI";1053;552;552
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Singapore;"Rio Grande do Sul";"Association Of Southeast Asian Nations (ASEAN)";MARITIMA;"1017700 - PORTO DE RIO GRANDE";935;185;187
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Singapore;"Rio Grande do Sul";"Asia (minus MIDDLE EAST)";MARITIMA;"1017700 - PORTO DE RIO GRANDE";935;185;187
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Liberia;Paraná;"Africa (minus MIDDLE EAST)";MARITIMA;"0917800 - PORTO DE PARANAGUA";915;524;438
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Panama;"São Paulo";"Central America and Caribbean";"EM MAOS";"0817800 - PORTO DE SANTOS";915;414;282
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";"Hong Kong";"Santa Catarina";"Asia (minus MIDDLE EAST)";MARITIMA;"0917800 - PORTO DE PARANAGUA";905;272;183
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Greece;Pernambuco;"European Union (EU)";MARITIMA;"0417902 - IRF - PORTO DE SUAPE";901;128;125
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Greece;Pernambuco;Europe;MARITIMA;"0417902 - IRF - PORTO DE SUAPE";901;128;125
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";"Marshall Islands";"Rio Grande do Sul";Oceania;MARITIMA;"1017700 - PORTO DE RIO GRANDE";878;335;337
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Cyprus;"São Paulo";Europe;"EM MAOS";"0817800 - PORTO DE SANTOS";875;707;204
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Cyprus;"São Paulo";"European Union (EU)";"EM MAOS";"0817800 - PORTO DE SANTOS";875;707;204
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";"Marshall Islands";"São Paulo";Oceania;"EM MAOS";"0817800 - PORTO DE SANTOS";871;254;278
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Bahrein;"São Paulo";"Middle East";MARITIMA;"0817800 - PORTO DE SANTOS";870;284;94
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Netherlands;"São Paulo";Europe;MARITIMA;"0817800 - PORTO DE SANTOS";822;319;163
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Netherlands;"São Paulo";"European Union (EU)";MARITIMA;"0817800 - PORTO DE SANTOS";822;319;163
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Liberia;"Santa Catarina";"Africa (minus MIDDLE EAST)";MARITIMA;"0917800 - PORTO DE PARANAGUA";803;473;317
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Panama;Bahia;"Central America and Caribbean";MARITIMA;"0517800 - ALF - SALVADOR";782;143;126
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";"Marshall Islands";"Rio de Janeiro";Oceania;MARITIMA;"0717800 - PORTO DE ITAGUAI";676;151;154
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";"United States";"São Paulo";"North America";AEREA;"0817600 - AEROPORTO INTERNACIONAL DE SAO PAULO/GUARULHOS";653;99;50
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";China;Alagoas;"Asia (minus MIDDLE EAST)";MARITIMA;"0417900 - ALF - RECIFE";640;69;69
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";"Dominica Island";"Rio Grande do Sul";"Central America and Caribbean";MARITIMA;"0927800 - ITAJAI";634;460;460
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Liberia;"São Paulo";"Africa (minus MIDDLE EAST)";"EM MAOS";"0817800 - PORTO DE SANTOS";594;288;180
